POISONING AS,POISONED AS,IMPACTED AS,VISIBILITY CHANGE,NEW DISCOVERED CONNECTION COUNT,NEW P2P CONNECTIONS DISCOVERED,NEW P2C CONNECTIONS DISCOVERED,NEW IXP CONNECTIONS DISCOVERED
14,11,19,3.6999999999999993,21,2,10,9
14,11,20,-1.6899999999999977,6,1,4,1
14,11,21,3.0299999999999976,19,3,7,9
14,11,22,-1.009999999999998,7,0,7,0
14,11,23,-0.33999999999999986,16,3,4,9
14,11,24,3.3699999999999974,22,2,10,10
14,11,25,0.33999999999999986,9,1,7,1
14,11,26,-0.33999999999999986,7,0,7,0
14,11,27,0.6699999999999982,7,2,5,0
14,11,28,-2.0199999999999996,10,0,4,6
14,11,29,-1.0100000000000016,11,0,5,6
14,11,30,3.0299999999999976,20,2,8,10
14,11,31,0.6700000000000017,11,0,10,1
14,11,32,0.33999999999999986,6,1,4,1
14,11,33,2.0199999999999996,12,0,11,1
14,11,34,0.33999999999999986,3,0,3,0
14,11,35,5.390000000000004,18,3,6,9
14,11,36,0.6699999999999982,13,1,7,5
14,11,37,5.050000000000001,21,1,12,8
14,11,38,0.6700000000000017,7,2,4,1
14,11,39,-0.6699999999999982,6,0,6,0
14,11,40,1.6799999999999997,11,0,11,0
14,11,41,1.3499999999999979,8,0,8,0
14,11,42,-0.3299999999999983,4,1,3,0
14,11,43,1.3499999999999979,7,2,4,1
14,11,44,1.009999999999998,7,0,3,4
14,11,45,0.0,6,2,3,1
14,11,46,0.6699999999999982,9,1,7,1
14,11,47,-1.0100000000000016,6,1,4,1
14,11,48,3.0299999999999976,19,2,8,9
14,11,49,0.33999999999999986,8,0,8,0
14,11,50,0.33000000000000185,6,2,3,1
14,12,1,1.0100000000000016,5,0,3,2
14,12,2,0.33999999999999986,3,0,1,2
14,12,3,0.6700000000000017,4,0,2,2
14,12,4,3.030000000000001,11,3,0,8
14,12,5,-0.33999999999999986,5,0,5,0
14,12,6,4.710000000000001,19,3,8,8
14,12,7,5.390000000000001,20,3,5,12
14,12,8,0.6799999999999997,4,0,2,2
14,12,9,1.3500000000000014,9,0,7,2
14,12,10,0.33999999999999986,5,0,5,0
14,12,11,0.0,5,0,3,2
14,12,12,-0.33999999999999986,3,0,3,0
14,12,13,2.3500000000000014,10,0,8,2
14,12,14,-1.6900000000000013,6,0,6,0
14,12,15,1.3500000000000014,9,0,8,1
14,12,16,-0.6699999999999982,4,0,4,0
14,12,17,0.33999999999999986,5,0,5,0
14,12,18,0.3400000000000034,6,0,5,1
14,12,19,0.0,6,0,6,0
14,12,20,-1.3499999999999979,3,0,3,0
14,12,21,4.039999999999999,18,3,7,8
14,12,22,-1.6899999999999977,8,0,8,0
14,12,23,1.009999999999998,15,3,5,7
14,12,24,0.0,8,0,8,0
14,12,25,0.33999999999999986,6,1,5,0
14,12,26,-1.6899999999999977,6,0,6,0
14,12,27,0.3299999999999983,4,0,4,0
14,12,28,-1.6900000000000013,9,0,5,4
14,12,29,-0.6700000000000017,10,1,5,4
14,12,30,-0.6700000000000017,6,0,6,0
14,12,31,-0.33999999999999986,8,0,8,0
14,12,32,0.6699999999999982,7,2,5,0
14,12,33,0.6799999999999997,12,0,12,0
14,12,34,0.33999999999999986,7,1,6,0
14,12,35,3.370000000000001,16,3,5,8
14,12,36,1.009999999999998,8,0,6,2
14,12,37,1.3500000000000014,12,0,12,0
14,12,38,0.33999999999999986,6,0,6,0
14,12,39,-0.6699999999999982,7,0,7,0
14,12,40,0.0,10,0,10,0
14,12,41,1.009999999999998,8,0,8,0
14,12,42,-0.6699999999999982,2,0,2,0
14,12,43,1.009999999999998,7,1,6,0
14,12,44,0.33999999999999986,5,0,5,0
14,12,45,0.0,5,0,5,0
14,12,46,0.3299999999999983,7,1,6,0
14,12,47,-0.6799999999999997,4,0,4,0
14,12,48,-0.33000000000000185,6,0,6,0
14,12,49,0.33999999999999986,8,0,8,0
14,12,50,0.0,5,0,5,0
14,13,1,4.040000000000003,13,3,2,8
14,13,2,5.050000000000001,15,4,0,11
14,13,3,3.700000000000003,12,3,1,8
14,13,4,6.059999999999999,21,5,0,16
14,13,5,1.6799999999999997,12,3,5,4
14,13,6,7.41,25,6,8,11
14,13,7,3.030000000000001,19,3,5,11
14,13,8,2.6999999999999993,11,2,1,8
14,13,9,0.0,7,1,2,4
14,13,10,2.0199999999999996,10,2,4,4
14,13,11,4.039999999999999,15,2,3,10
14,13,12,2.6899999999999977,19,2,2,15
14,13,13,-2.6999999999999993,2,0,2,0
14,13,14,-4.379999999999999,1,0,1,0
14,13,15,0.33999999999999986,7,0,7,0
14,13,16,-1.3399999999999999,2,0,2,0
14,13,17,0.6799999999999997,6,2,3,1
14,13,18,0.3400000000000034,6,1,2,3
14,13,19,0.33999999999999986,14,2,4,8
14,13,20,-0.6799999999999997,4,1,2,1
14,13,21,3.6999999999999993,18,3,8,7
14,13,22,-0.33999999999999986,3,0,3,0
14,13,23,0.0,13,3,4,6
14,13,24,2.0199999999999996,18,2,7,9
14,13,25,0.6799999999999997,5,1,3,1
14,13,26,-0.33999999999999986,3,0,3,0
14,13,27,0.6699999999999982,8,2,6,0
14,13,28,-3.710000000000001,7,0,1,6
14,13,29,-2.6900000000000013,8,0,2,6
14,13,30,1.3499999999999979,16,2,5,9
14,13,31,1.0100000000000016,6,0,5,1
14,13,32,0.33999999999999986,7,1,5,1
14,13,33,0.6799999999999997,5,0,5,0
14,13,34,1.009999999999998,8,1,7,0
14,13,35,3.370000000000001,14,3,4,7
14,13,36,-0.33999999999999986,7,1,2,4
14,13,37,5.720000000000002,19,2,9,8
14,13,38,1.0100000000000016,6,2,3,1
14,13,39,0.6700000000000017,6,0,6,0
14,13,40,1.009999999999998,5,0,5,0
14,13,41,1.3499999999999979,6,0,6,0
14,13,42,-1.009999999999998,5,1,4,0
14,13,43,1.009999999999998,10,2,7,1
14,13,44,1.6799999999999997,9,1,5,3
